Location,Country,Date,Avalanche Problem 1,Avalanche Problem 2,Dead,Group Size,Type
"Val d\'Ayas, Gran Sommettaz
Details",Italy,2021-11-29 12:05:00,,,1,,Off-piste skiing
"Roques Blanques-Pic de la Dona
Details",Spain,2021-11-28 00:00:00,Wind slab,None,1,1,Mountaineering/Climbing
"La Thuille
Details",Italy,2021-12-07 13:09:00,Wind slab,,1,3,Backcountry skiing
"Monte Sorbetta
Details",Italy,2021-12-16 13:04:00,Persistent weak layer,,1,2,Backcountry skiing
"Zermatt
Details",Switzerland,2021-12-17 16:18:00,,,1,,
"Suchá dolina
Details",Slovakia,2021-12-13 12:20:00,Wind slab,,2,4,Off-piste skiing
"secteur du Pic de Corne
Details",France,2022-01-12 13:00:00,Wind slab,New snow,1,2,Backcountry skiing
"Gresovo, Kamenista dolina
Details",Slovakia,2022-01-19 14:30:00,Wind slab,,1,3,Backcountry skiing
"Kleiner Ötscher
Details",Austria,2022-01-23 11:25:00,Persistent weak layer,Wind slab,1,6,
"Conthey
Details",Switzerland,2022-01-21 13:00:00,,,1,5,Backcountry skiing
"Rin de Gein, Livigno
Details",Italy,2022-02-05 13:28:00,Wind slab,New snow,1,3,Off-piste skiing
"Hocheisspitze
Details",Germany,2022-01-25 12:58:00,Persistent weak layer,Wet snow,1,2,Backcountry skiing
"Steintalhörnl
Details",Germany,2022-02-05 12:25:00,Wind slab,Gliding snow,1,,Backcountry skiing
"Goms
Details",Switzerland,2022-02-05 14:30:00,,,1,,
"Val Müstair
Details",Switzerland,2022-02-05 12:00:00,,,1,,
"Davos
Details",Switzerland,2022-02-03 14:00:00,,,1,,
"Scuol
Details",Switzerland,2022-02-03 11:00:00,,,1,,
"Saint-Colomban-des-Villards (73130) - Tête de Bellard
Details",France,2022-02-07 13:00:00,New snow,Wind slab,2,,Off-piste skiing
"Maseben-Vilgand
Details",Italy,2022-02-08 14:05:00,Wind slab,Persistent weak layer,1,4,Backcountry skiing
"Engelberg
Details",Switzerland,2022-02-07 16:00:00,,,1,,
"Bergün Filisur
Details",Switzerland,2022-02-08 15:15:00,,,1,,
"Sachseln
Details",Switzerland,2022-02-17 15:00:00,,,2,,
"Poland
Details",Poland,2022-01-29 14:53:00,Wind slab,,1,2,Off-piste skiing
"Tatra
Details",Poland,2022-01-29 15:50:00,Wind slab,,1,2,Backcountry skiing
"Venet
Details",Austria,2021-12-11 12:00:00,Wind slab,None,1,6,Off-piste skiing
"Breiteggspitze
Details",Austria,2022-02-04 17:00:00,Persistent weak layer,None,2,2,Backcountry skiing
"Fließer Berg
Details",Austria,2022-02-04 12:45:00,Persistent weak layer,None,5,6,Backcountry skiing
"Gammerspitze
Details",Austria,2022-02-05 17:00:00,Persistent weak layer,,1,5,Backcountry skiing
"Schafseitenspitze
Details",Austria,2022-02-13 12:00:00,Persistent weak layer,None,1,8,Backcountry skiing
"Scuol
Details",Switzerland,2022-02-23 14:15:00,,,2,,
"Montvalezan 73700
Details",France,2022-02-23 12:00:00,Wind slab,Wet snow,1,,Off-piste skiing
"Hotelhang, Wendelstein
Details",Germany,2022-01-22 11:08:00,New snow,Wind slab,1,1,Mountaineering/Climbing
"Ötscher
Details",Austria,2022-03-11 11:45:00,Persistent weak layer,,3,4,Backcountry skiing
"Făgăraș Mt, Scara Valley
Details",Romania,2022-03-05 16:00:00,Wind slab,New snow,2,2,Off-piste skiing
"Erikaksla
Details",Norway,2022-03-30 17:20:00,Persistent weak layer,New snow,1,5,Backcountry skiing
"Lackenspitze
Details",Austria,2021-12-04 13:30:00,Wind slab,Persistent weak layer,3,11,Backcountry skiing
"Gavarnie
Details",France,2022-03-10 12:00:00,Wind slab,,1,2,Other
"Cap de Vaquèira
Details",Spain,2022-04-04 13:15:00,Wind slab,,1,2,Off-piste skiing
"Beretlia, Lyngen
Details",Norway,2022-04-07 14:30:00,Persistent weak layer,Wind slab,3,9,Backcountry skiing
"Saint Christophe en Oisans
Details",France,2022-04-05 10:00:00,Wet snow,Gliding snow,2,2,Backcountry skiing
"Acceglio- Monte Vallonasso
Details",Italy,2022-04-09 13:48:00,Wind slab,,1,4,Off-piste skiing
"Chamonix-Mont-Blanc(74400)
Details",France,2022-04-09 18:00:00,New snow,Wind slab,2,8,Other
"Vals
Details",Switzerland,2022-04-15 14:00:00,,,2,,Backcountry skiing
"Ortles - Solda
Details",Italy,2022-04-27 14:30:00,Wind slab,Wind slab,2,2,Mountaineering/Climbing
"Grøtdalstindan
Details",Norway,2022-04-06 16:23:00,Wet snow,New snow,1,4,Backcountry skiing
"Westliche Karwendelspitze
Details",Germany,2022-04-14 12:44:00,Wet snow,,1,1,Mountaineering/Climbing
"Knödelkopf / Klösterle-Stuben
Details",Austria,2022-02-04 15:50:00,Wind slab,Gliding snow,1,4,Backcountry skiing
"Skeiðsfjall
Details",Iceland,2022-04-07 19:00:00,Wind slab,None,1,3,Backcountry skiing
"Bradavica, Slavkovská dolina
Details",Slovakia,2022-09-21 11:00:00,,,2,4,Mountaineering/Climbing
