Location,Country,Date,Avalanche Problem 1,Avalanche Problem 2,Dead,Group Size,Type
"Zwölferkogel
Details",Austria,2019-02-23 15:42:00,Wind slab,,1,2.0,Mountaineering/Climbing
"Laserztörl
Details",Austria,2019-01-19 14:50:00,Persistent weak layer,Wind slab,1,2.0,Backcountry skiing
"Steißbachtal - Grube
Details",Austria,2019-01-09 16:39:00,New snow,,1,4.0,Off-piste skiing
"Hohe Mut
Details",Austria,2018-12-25 11:59:00,Persistent weak layer,,1,2.0,Off-piste skiing
"Hintertuxer Gletscher
Details",Austria,2018-12-13 10:49:00,Wind slab,,1,4.0,Off-piste skiing
"Ochsenälpeleskopf
Details",Germany,2019-02-23 14:50:00,Gliding snow,,2,5.0,Backcountry skiing
"Teisenberg
Details",Germany,2019-01-05 12:30:00,New snow,,1,6.0,Backcountry skiing
Details,Switzerland,2019-07-01 00:00:00,,,2,,Controlled
Details,Switzerland,2019-07-01 00:00:00,,,19,,Uncontrolled
"Val d\\\'Aran
Details",Spain,2019-01-26 00:00:00,Wind slab,Persistent weak layer,1,,Off-piste skiing
Details,France,2019-07-01 00:00:00,,,13,,Other
Details,Slovakia,2019-07-01 00:00:00,,,4,,Uncontrolled
"Mallnitz - Krumpe Tal
Details",Austria,2019-01-15 12:40:00,Wind slab,,1,2.0,Mountaineering/Climbing
"Călimani Mt
Details",Romania,2019-02-03 11:00:00,Wet snow,,1,3.0,Snowmobiling
"Bucegi Mt, Morarului Valley
Details",Romania,2018-12-09 13:30:00,Wind slab,,2,2.0,
"Blåbærfjellet
Details",Norway,2019-01-02 15:00:00,Wind slab,Persistent weak layer,4,4.0,Backcountry skiing
"Signesdalsfjellet
Details",Norway,2019-02-04 14:30:00,,,1,4.0,Snowmobiling
"Brunstadhornet
Details",Norway,2019-03-09 16:20:00,New snow,,1,2.0,Backcountry skiing
"Storfjellet
Details",Norway,2019-03-10 11:50:00,Wind slab,,1,2.0,Backcountry skiing
"Dumålstinden
Details",Norway,2019-03-26 12:04:00,Wind slab,Persistent weak layer,2,2.0,Travelling on road
"Reingjerdfjellet
Details",Norway,2019-04-01 19:00:00,Wind slab,Persistent weak layer,1,4.0,Snowmobiling
"1237
Details",Norway,2019-04-09 12:20:00,New snow,Wet snow,1,3.0,Backcountry skiing
"Kamkrona
Details",Norway,2019-05-17 12:30:00,,,2,2.0,Backcountry skiing
"Rax, Ottohaus, Törlweg
Details",Austria,2019-03-23 13:00:00,Wet snow,,1,2.0,Hiking on foot or snowshoeing
"Allas
Details",Austria,2019-02-03 17:30:00,Wind slab,New snow,1,2.0,Other
"Großer Schober
Details",Austria,2019-01-27 12:00:00,Wind slab,,1,1.0,Backcountry skiing
"Rüfikopf - Variante \""Wasserschloss\"" Richtung Wöstertäli
Details",Austria,2019-01-12 16:20:00,Wind slab,Gliding snow,4,4.0,Off-piste skiing
"Damüls - freier Schiraum westl. Hinterargenalpe
Details",Austria,2019-01-06 15:45:00,Wind slab,,1,2.0,Off-piste skiing
"Schoppernau: Diedamskopf - freier Schiraum
Details",Austria,2019-01-06 15:49:00,New snow,,1,2.0,Off-piste skiing
"Lahngang, Abtenau
Details",Austria,2019-01-05 00:00:00,Wind slab,,2,2.0,Hiking on foot or snowshoeing
"Stadelberg/Gschwendhütte/Steinparztal
Details",Austria,2019-01-05 00:01:00,,,2,2.0,
"Oberlercherspitze
Details",Austria,2019-05-07 12:00:00,Persistent weak layer,,1,1.0,Backcountry skiing
"Colle Pillont
Details",Italy,2018-12-08 09:34:00,Wind slab,Wind slab,1,1.0,Backcountry skiing
"Monte Spico
Details",Italy,2019-01-19 09:37:00,Wind slab,Wind slab,1,6.0,Backcountry skiing
"Canale dello spagnolo
Details",Italy,2019-02-03 09:43:00,Wind slab,Wind slab,4,4.0,Backcountry skiing
"Croda Rossa di Sesto
Details",Italy,2019-02-03 09:46:00,New snow,New snow,1,1.0,On skiruns
"Punta Ollietta
Details",Italy,2019-02-03 09:48:00,Wind slab,Wind slab,1,3.0,Off-piste skiing
"Livigno
Details",Italy,2019-02-03 09:49:00,New snow,New snow,1,1.0,On skiruns
"Monte Coglians
Details",Italy,2019-02-05 09:51:00,Wind slab,Wind slab,1,1.0,Backcountry skiing
"Alpi Cozie / Gruppo Queyron Albergian Sestriere / Monte Morefreddo / Loc. Bric del cucù
Details",Italy,2019-02-05 09:52:00,New snow,New snow,1,,Backcountry skiing
"Dolomiti / Gruppo del Puez
Details",Italy,2019-01-19 09:56:00,Wind slab,Wind slab,1,1.0,Backcountry skiing
"Pista Lazaum / Maso Corto
Details",Italy,2019-03-16 10:00:00,Wind slab,Wind slab,1,,Mountaineering/Climbing
"Prealpi vicentine / Massiccio del Pasubio / Monte del Pasubio
Details",Italy,2019-04-21 10:02:00,New snow,New snow,1,1.0,Hiking on foot or snowshoeing
"Alpi retiche Meridionali / Gruppo Ortles Cevedale / Punta San Matteo
Details",Italy,2019-06-15 10:04:00,Wet snow,Wet snow,1,3.0,Mountaineering/Climbing
"Schober Lahngang
Details",Austria,2019-01-05 00:00:00,New snow,,2,2.0,Hiking on foot or snowshoeing
"Rettenbachferner
Details",Austria,2019-11-09 12:06:00,Persistent weak layer,Wind slab,2,3.0,Off-piste skiing
"Gamskarspitze
Details",Austria,2019-12-31 13:30:00,Persistent weak layer,,1,4.0,Mountaineering/Climbing
"Murkarspitze
Details",Austria,2020-02-09 11:40:00,Persistent weak layer,,1,8.0,Backcountry skiing
