,Location,Country,Date,1oHazard,2oHazard,Dead,Party,Sport
0,Hohe Warte,Austria,2018-03-24,Persistent weak layer,,1,10,Backcountry skiing
1,Hinterbergkofel,Austria,2018-03-18,Persistent weak layer,Wind slab,1,16,Backcountry skiing
2,Hochkarspitze,Austria,2018-02-21,Persistent weak layer,,1,3,Backcountry skiing
3,Kals - Matreier Törl,Austria,2018-01-05,Wind slab,Persistent weak layer,2,2,Off-piste skiing
4,Velilltal,Austria,2018-01-04,Wind slab,New snow,1,3,Off-piste skiing
5,Pezid,Austria,2017-12-13,Wind slab,Persistent weak layer,1,3,Off-piste skiing
6,Geigelstein,Germany,2018-01-21,,,1,2,Backcountry skiing
7,Kehlstein,Germany,2017-11-19,,,1,1,Backcountry skiing
8,Gran Sasso  - Pizzo Cefalone,Italy,2017-12-22,Wind slab,Wind slab,1,2,Other
9,Malga San Valentino,Italy,2018-01-03,None,None,2,2,
10,Val gardena - val ciavel,Italy,2018-01-10,Wind slab,Wind slab,1,1,Mountaineering/Climbing
11,Campo felice/Anfiteatro,Italy,2018-02-04,Wind slab,Wind slab,2,3,Off-piste skiing
12,Valle Angrogna-Punta piattina,Italy,2018-02-12,Wind slab,Wind slab,1,1,Off-piste skiing
13,val d\\\'angrogna-/punta piattina,Italy,2018-02-08,Wind slab,Wind slab,1,1,Off-piste skiing
14,Valle Gesso-Cayre dell\\\' Agnel,Italy,2018-02-08,Wind slab,Wind slab,1,1,Off-piste skiing
15,Monte grignetta,Italy,2018-02-16,Wind slab,Wind slab,2,3,Mountaineering/Climbing
16,S.Domenico di Varzo,Italy,2018-03-07,Wind slab,Wind slab,1,1,Off-piste skiing
17,Vallone dell\\\' Otro,Italy,2018-03-07,Wind slab,Wind slab,1,0,Off-piste skiing
18,Val Badia,Italy,2018-03-12,Wind slab,Wind slab,1,1,Off-piste skiing
19,Forcola,Italy,2018-03-19,New snow,New snow,1,1,Off-piste skiing
20,Alpi Retiche-Gran Zebrù,Italy,2018-03-22,Wind slab,Wind slab,3,3,Off-piste skiing
21,Piz Galin,Italy,2018-03-24,Wind slab,Wind slab,1,1,Mountaineering/Climbing
22,Alpi Graie-Gran Paradiso-Colle Chamolè,Italy,2018-04-06,Wet snow,Wet snow,2,4,Off-piste skiing
23,Pila-Col Chamolè,Italy,2018-04-07,Wet snow,Wet snow,2,6,Off-piste skiing
24,Bienno-Lavena,Italy,2018-04-13,Wet snow,Wind slab,1,1,Other
25,Val Lavenna-Passo Crocedomini,Italy,2018-04-15,New snow,Wet snow,1,1,Off-piste skiing
26,,Switzerland,2018-07-01,,,1,0,Controlled
27,,Switzerland,2018-07-01,,,26,0,Uncontrolled
28,Val d\\\'Aran,Spain,2018-03-22,Wind slab,,2,3,Backcountry skiing
29,Formigal,Spain,2018-02-28,,,1,0,Off-piste skiing
30,Gran Sasso / Pizzo Cefalone,Italy,2017-12-22,,,1,1,Other
31,Malga San Valentino,Italy,2018-01-03,,,2,2,Off-piste skiing
32,Val Gardena Zona Val  di Ciavei,Italy,2018-01-24,,,1,1,Mountaineering/Climbing
33,Val d Angrogna / Punta Piattina,Italy,2018-02-13,,,1,1,Off-piste skiing
34,Campo Felice / Anfiteatro,Italy,2018-02-04,,,2,3,Off-piste skiing
35,Valle Gesso  /  Cayre dell\\\'Agnel,Italy,2018-02-15,,,1,1,Off-piste skiing
36,Monte Grignetta,,2018-02-16,,,2,3,Mountaineering/Climbing
37,Alpi Graie /  Loc. Pian Benot,Italy,2018-03-04,,,1,1,Off-piste skiing
38,Val Badia,Italy,2018-03-14,,,1,1,On skiruns
39,Forcola,Italy,2018-03-19,,,1,1,On skiruns
40,Alpi Retiche / Gran Zebrù,Italy,2018-03-22,,,3,3,Off-piste skiing
41,Piz Galin,Italy,2018-03-24,,,1,1,Off-piste skiing
42,Alpi Graie / Alpi del Gran Paradiso / Colle di ChamolÃ¨,Italy,2018-04-06,,,2,4,Off-piste skiing
43,Val Lavenna / Passo  Crocedomini,Italy,2018-04-15,,,1,1,Off-piste skiing
44,,France,2018-07-01,,,37,0,Other
45,Vergaldatal - Kengel,Austria,2017-11-16,Gliding snow,,1,1,Travelling on road
46,,Slovakia,2018-07-01,,,5,0,Uncontrolled
47,Alpi Piemontesi/S.Domenico di Varzo,Italy,2018-03-04,Wind slab,Wind slab,1,1,Off-piste skiing
48,Călimani Mt,Romania,2017-12-01,,,1,3,Other
49,Parâng Mt.,Romania,2017-12-01,,,1,3,Other
50,"Vrancei Mt, Cheile Tișiței",Romania,2018-03-03,,,1,30,Travelling on road
51,"Făgăraș Mt, Sâmbăta Valley",Romania,2018-04-01,,,3,3,Other
52,"Coștilei Valley, Bucegi Mt.",Romania,2018-01-13,Wind slab,New snow,1,5,Other
53,Kildalen,Norway,2018-03-29,Persistent weak layer,New snow,1,1,Snowmobiling
54,Sydalsfjellet,Norway,2018-04-01,New snow,Persistent weak layer,1,2,Backcountry skiing
55,Russelvfjellet,Norway,2018-04-12,Wind slab,Wet snow,1,5,Backcountry skiing
56,Baser Negre,Andorra,2018-03-01,Wind slab,Wet snow,1,2,Off-piste skiing
57,Mrzla gora,Slovenia,2018-03-25,,,1,2,Mountaineering/Climbing
58,,Norway,2018-07-01,,,3,0,Uncontrolled
59,Gamsspitzl Obertauern,,2017-12-29,Wind slab,,1,3,Off-piste skiing
60,Eisarena Anlauftal,Austria,2017-12-10,,,1,2,Mountaineering/Climbing
61,Hohes Brett,Austria,2018-03-24,,,1,1,Backcountry skiing
